t-wise,2-way,3-way,4-way,5-way,6-way,Max Accuracy
6,67.16667,67.13333,67.23333,67.46667,67.5,67.46667
8,67.73333,68.53333,69.1,69.1,69.06666,69.1
10,69.03333,69.9,70.33333,70.63333,70.6,70.63333
12,69.4,70.6,70.6,70.83333,70.96667,70.96667
14,70.6,70.96667,71.06667,71.13333,71.53333,71.53333
16-1,70.83333,71.23333,71.5,71.53333,71.6,71.6
18,71.63333,71.66667,71.9,72.23333,72.23333,72.23333
20,71.76667,71.96667,71.86667,72.03333,71.96667,72.03333
22,71.73333,71.83333,71.96667,72,72,72
24,71.9,71.83333,71.9,71.86667,71.9,71.9
26,71.9,72,72,72,72,72
28,71.93333,71.93333,71.93333,-,-,71.93333
30,71.1,-,-,-,-,71.1
32,71.06667,-,-,-,-,71.06667
